run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,None,lda,1,0.5833333333333334,0.5833333333333334,0.16666666666666663,0
0,ORICA (0),lda,1,0.6388888888888888,0.6388888888888888,0.2777777777777778,0
0,ORICA (1),lda,1,0.5486111111111112,0.5486111111111112,0.09722222222222221,0
0,Ext. Infomax,lda,1,0.7916666666666666,0.7916666666666667,0.5833333333333333,0
1,Ext. Infomax,lda,1,0.8194444444444444,0.8194444444444444,0.6388888888888888,0
2,Ext. Infomax,lda,1,0.8125,0.8125,0.625,0
0,SOBI,lda,1,0.7638888888888888,0.7638888888888888,0.5277777777777778,0
0,FastICA,lda,1,0.8472222222222222,0.8472222222222223,0.6944444444444444,0
1,FastICA,lda,1,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
2,FastICA,lda,1,0.7916666666666666,0.7916666666666667,0.5833333333333333,0
0,picard_o,lda,1,0.8055555555555556,0.8055555555555556,0.6111111111111112,0
1,picard_o,lda,1,0.8333333333333334,0.8333333333333334,0.6666666666666667,0
2,picard_o,lda,1,0.7986111111111112,0.7986111111111112,0.5972222222222222,0
1,None,lda,1,0.5833333333333334,0.5833333333333334,0.16666666666666663,1
2,None,lda,1,0.5833333333333334,0.5833333333333334,0.16666666666666663,1
1,ORICA (0),lda,1,0.6388888888888888,0.6388888888888888,0.2777777777777778,1
2,ORICA (0),lda,1,0.6388888888888888,0.6388888888888888,0.2777777777777778,1
1,ORICA (1),lda,1,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
2,ORICA (1),lda,1,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
1,SOBI,lda,1,0.7638888888888888,0.7638888888888888,0.5277777777777778,1
2,SOBI,lda,1,0.7638888888888888,0.7638888888888888,0.5277777777777778,1
0,None,lda,2,0.5625,0.5625,0.125,0
0,ORICA (0),lda,2,0.5208333333333334,0.5208333333333333,0.04166666666666663,0
0,ORICA (1),lda,2,0.4652777777777778,0.46527777777777773,-0.06944444444444442,0
0,Ext. Infomax,lda,2,0.4791666666666667,0.4791666666666667,-0.04166666666666674,0
1,Ext. Infomax,lda,2,0.4861111111111111,0.48611111111111116,-0.02777777777777768,0
2,Ext. Infomax,lda,2,0.4791666666666667,0.4791666666666667,-0.04166666666666674,0
0,SOBI,lda,2,0.5902777777777778,0.5902777777777778,0.18055555555555558,0
0,FastICA,lda,2,0.5,0.5,0.0,0
1,FastICA,lda,2,0.5138888888888888,0.5138888888888888,0.02777777777777779,0
2,FastICA,lda,2,0.5069444444444444,0.5069444444444444,0.01388888888888884,0
0,picard_o,lda,2,0.4652777777777778,0.4652777777777778,-0.06944444444444442,0
1,picard_o,lda,2,0.5694444444444444,0.5694444444444444,0.13888888888888884,0
2,picard_o,lda,2,0.5694444444444444,0.5694444444444444,0.13888888888888884,0
1,None,lda,2,0.5625,0.5625,0.125,1
2,None,lda,2,0.5625,0.5625,0.125,1
1,ORICA (0),lda,2,0.5208333333333334,0.5208333333333333,0.04166666666666663,1
2,ORICA (0),lda,2,0.5208333333333334,0.5208333333333333,0.04166666666666663,1
1,ORICA (1),lda,2,0.4652777777777778,0.46527777777777773,-0.06944444444444442,1
2,ORICA (1),lda,2,0.4652777777777778,0.46527777777777773,-0.06944444444444442,1
1,SOBI,lda,2,0.5902777777777778,0.5902777777777778,0.18055555555555558,1
2,SOBI,lda,2,0.5902777777777778,0.5902777777777778,0.18055555555555558,1
0,None,lda,3,0.7986111111111112,0.7986111111111112,0.5972222222222222,0
0,ORICA (0),lda,3,0.5416666666666666,0.5416666666666667,0.08333333333333337,0
0,ORICA (1),lda,3,0.5277777777777778,0.5277777777777778,0.05555555555555558,0
0,Ext. Infomax,lda,3,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
1,Ext. Infomax,lda,3,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
2,Ext. Infomax,lda,3,0.8194444444444444,0.8194444444444444,0.6388888888888888,0
0,SOBI,lda,3,0.8333333333333334,0.8333333333333334,0.6666666666666667,0
0,FastICA,lda,3,0.8194444444444444,0.8194444444444444,0.6388888888888888,0
1,FastICA,lda,3,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
2,FastICA,lda,3,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
0,picard_o,lda,3,0.8194444444444444,0.8194444444444444,0.6388888888888888,0
1,picard_o,lda,3,0.8194444444444444,0.8194444444444444,0.6388888888888888,0
2,picard_o,lda,3,0.8263888888888888,0.8263888888888888,0.6527777777777778,0
1,None,lda,3,0.7986111111111112,0.7986111111111112,0.5972222222222222,1
2,None,lda,3,0.7986111111111112,0.7986111111111112,0.5972222222222222,1
1,ORICA (0),lda,3,0.5416666666666666,0.5416666666666667,0.08333333333333337,1
2,ORICA (0),lda,3,0.5416666666666666,0.5416666666666667,0.08333333333333337,1
