run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,clf_fit_time,preprocess_fit_time,hyperparameters,duplicated
0,None,lda,1,0.9027777777777778,0.9027777777777777,0.8055555555555556,0.9380359649658203,3.5141093730926514,"{'n_components': 1, 'selected_features': [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,ORICA (0),lda,1,0.5416666666666666,0.5416666666666666,0.08333333333333337,0.04293251037597656,0.03339242935180664,"{'n_components': 1, 'selected_features': [1, 0]}",0
0,ORICA (1),lda,1,0.5694444444444444,0.5694444444444444,0.13888888888888884,0.04893779754638672,0.03307795524597168,"{'n_components': 1, 'selected_features': [1, 0]}",0
0,Ext. Infomax,lda,1,0.8611111111111112,0.8611111111111112,0.7222222222222222,0.03347206115722656,1.5198633670806885,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,Ext. Infomax,lda,1,0.875,0.875,0.75,0.032698869705200195,1.3402330875396729,"{'n_components': 1, 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
2,Ext. Infomax,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.03292036056518555,1.6006085872650146,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,SOBI,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.03310108184814453,2.0645272731781006,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]}",0
0,FastICA,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.037276268005371094,1.4987156391143799,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]}",0
1,FastICA,lda,1,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.033357858657836914,1.5167806148529053,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
2,FastICA,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.032297372817993164,1.1951179504394531,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
