run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,None,random_forest,51,0.58,0.5800000000000001,0.16000000000000003,0
0,None,gaussian_nb,51,0.53,0.53,0.06000000000000005,0
0,None,lda,51,0.57,0.5700000000000001,0.14,0
0,None,logistic,51,0.57,0.5700000000000001,0.14,0
1,None,random_forest,51,0.52,0.52,0.040000000000000036,0
1,None,logistic,51,0.57,0.5700000000000001,0.14,0
2,None,random_forest,51,0.57,0.5700000000000001,0.14,0
2,None,logistic,51,0.57,0.5700000000000001,0.14,0
0,ORICA (0),random_forest,51,0.51,0.51,0.020000000000000018,0
0,ORICA (0),gaussian_nb,51,0.55,0.55,0.09999999999999998,0
0,ORICA (0),lda,51,0.55,0.55,0.09999999999999998,0
0,ORICA (0),logistic,51,0.55,0.55,0.09999999999999998,0
1,ORICA (0),random_forest,51,0.48,0.48,-0.040000000000000036,0
1,ORICA (0),logistic,51,0.55,0.55,0.09999999999999998,0
2,ORICA (0),random_forest,51,0.49,0.49,-0.020000000000000018,0
2,ORICA (0),logistic,51,0.55,0.55,0.09999999999999998,0
0,ORICA (1),random_forest,51,0.53,0.53,0.06000000000000005,0
0,ORICA (1),gaussian_nb,51,0.45,0.45,-0.10000000000000009,0
0,ORICA (1),lda,51,0.52,0.52,0.040000000000000036,0
0,ORICA (1),logistic,51,0.52,0.52,0.040000000000000036,0
1,ORICA (1),random_forest,51,0.54,0.54,0.07999999999999996,0
1,ORICA (1),logistic,51,0.52,0.52,0.040000000000000036,0
2,ORICA (1),random_forest,51,0.55,0.55,0.09999999999999998,0
2,ORICA (1),logistic,51,0.52,0.52,0.040000000000000036,0
0,Ext. Infomax,random_forest,51,0.47,0.47000000000000003,-0.06000000000000005,0
0,Ext. Infomax,gaussian_nb,51,0.55,0.55,0.09999999999999998,0
0,Ext. Infomax,lda,51,0.53,0.53,0.06000000000000005,0
0,Ext. Infomax,logistic,51,0.53,0.53,0.06000000000000005,0
1,Ext. Infomax,random_forest,51,0.54,0.54,0.07999999999999996,0
1,Ext. Infomax,gaussian_nb,51,0.55,0.55,0.09999999999999998,0
1,Ext. Infomax,lda,51,0.52,0.52,0.040000000000000036,0
1,Ext. Infomax,logistic,51,0.53,0.53,0.06000000000000005,0
2,Ext. Infomax,random_forest,51,0.52,0.52,0.040000000000000036,0
2,Ext. Infomax,gaussian_nb,51,0.59,0.59,0.18000000000000005,0
2,Ext. Infomax,lda,51,0.53,0.53,0.06000000000000005,0
2,Ext. Infomax,logistic,51,0.56,0.5599999999999999,0.12,0
0,SOBI,random_forest,51,0.55,0.55,0.09999999999999998,0
0,SOBI,gaussian_nb,51,0.54,0.54,0.07999999999999996,0
0,SOBI,lda,51,0.54,0.54,0.07999999999999996,0
0,SOBI,logistic,51,0.54,0.54,0.07999999999999996,0
