run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,clf_fit_time,preprocess_fit_time,hyperparameters,duplicated
0,None,random_forest,51,0.89,0.8899999999999999,0.78,2.275036573410034,2.4271910190582275,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 40, 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
0,None,gaussian_nb,51,0.48,0.48,-0.040000000000000036,0.0156557559967041,2.4271910190582275,"{'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
0,None,lda,51,0.74,0.74,0.48,0.02629876136779785,2.4271910190582275,"{'n_components': 1, 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
0,None,logistic,51,0.74,0.74,0.48,0.028647184371948242,2.4271910190582275,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
1,None,random_forest,51,0.83,0.8300000000000001,0.6599999999999999,1.2280116081237793,0.0,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 25, 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
1,None,logistic,51,0.74,0.74,0.48,0.02711939811706543,0.0,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
2,None,random_forest,51,0.87,0.87,0.74,1.2606818675994873,0.0,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 40, 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
2,None,logistic,51,0.74,0.74,0.48,0.027680158615112305,0.0,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]}",0
0,ORICA (0),random_forest,51,0.66,0.6599999999999999,0.31999999999999995,1.2266285419464111,0.027485132217407227,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 15, 'selected_features': [0, 1]}",0
0,ORICA (0),gaussian_nb,51,0.6,0.6000000000000001,0.19999999999999996,0.010074853897094727,0.027485132217407227,"{'selected_features': [0, 1]}",0
