run,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,lda,1,0.61,0.61,0.21999999999999997,0
0,lda,10,0.5,0.5,0.0,0
0,lda,11,0.49,0.49,-0.020000000000000018,0
0,lda,12,0.57,0.5700000000000001,0.14,0
0,lda,13,0.54,0.54,0.07999999999999996,0
0,lda,14,0.53,0.53,0.06000000000000005,0
0,lda,15,0.5,0.5,0.0,0
0,lda,16,0.52,0.52,0.040000000000000036,0
0,lda,17,0.5,0.5,0.0,0
0,lda,18,0.72,0.72,0.43999999999999995,0
0,lda,19,0.83,0.8300000000000001,0.6599999999999999,0
0,lda,2,0.5,0.5,0.0,0
0,lda,20,0.48,0.48,-0.040000000000000036,0
0,lda,21,0.98,0.98,0.96,0
0,lda,22,0.5,0.5,0.0,0
0,lda,23,0.84,0.84,0.6799999999999999,0
0,lda,24,0.61,0.61,0.21999999999999997,0
0,lda,25,0.53,0.53,0.06000000000000005,0
0,lda,26,0.49,0.49,-0.020000000000000018,0
0,lda,27,0.47,0.47,-0.06000000000000005,0
0,lda,28,0.67,0.67,0.33999999999999997,0
0,lda,29,0.89,0.8899999999999999,0.78,0
0,lda,3,0.85,0.85,0.7,0
0,lda,30,0.62,0.6200000000000001,0.24,0
0,lda,31,0.54,0.54,0.07999999999999996,0
0,lda,32,0.97,0.97,0.94,0
0,lda,33,0.85,0.85,0.7,0
0,lda,34,0.5,0.5,0.0,0
0,lda,35,0.55,0.55,0.09999999999999998,0
0,lda,36,0.96,0.96,0.92,0
0,lda,37,0.71,0.71,0.42000000000000004,0
0,lda,38,0.58,0.5800000000000001,0.16000000000000003,0
0,lda,39,0.52,0.52,0.040000000000000036,0
0,lda,4,0.51,0.51,0.020000000000000018,0
0,lda,40,0.57,0.5700000000000001,0.14,0
0,lda,41,0.58,0.5800000000000001,0.16000000000000003,0
0,lda,42,0.69,0.69,0.38,0
0,lda,43,0.66,0.6599999999999999,0.31999999999999995,0
0,lda,44,0.86,0.86,0.72,0
0,lda,45,0.93,0.9299999999999999,0.86,0
0,lda,46,0.51,0.51,0.020000000000000018,0
0,lda,47,0.64,0.64,0.28,0
0,lda,48,0.6,0.6,0.19999999999999996,0
0,lda,49,0.64,0.64,0.28,0
0,lda,5,0.52,0.52,0.040000000000000036,0
0,lda,50,0.51,0.51,0.020000000000000018,0
0,lda,51,0.51,0.51,0.020000000000000018,0
0,lda,52,0.8,0.8,0.6,0
0,lda,53,0.59,0.5900000000000001,0.18000000000000005,0
0,lda,54,0.48,0.48,-0.040000000000000036,0
0,lda,6,0.55,0.55,0.09999999999999998,0
0,lda,7,0.71,0.71,0.42000000000000004,0
0,lda,8,0.54,0.54,0.07999999999999996,0
0,lda,9,0.67,0.6699999999999999,0.33999999999999997,0
