run,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,lda,1,0.8,0.8,0.6,0
0,lda,10,0.65,0.6499999999999999,0.30000000000000004,0
0,lda,11,0.49,0.49,-0.020000000000000018,0
0,lda,12,0.48,0.48,-0.040000000000000036,0
0,lda,13,0.58,0.58,0.16000000000000003,0
0,lda,14,0.48,0.48,-0.040000000000000036,0
0,lda,15,0.62,0.6200000000000001,0.24,0
0,lda,16,0.58,0.5800000000000001,0.16000000000000003,0
0,lda,17,0.66,0.66,0.31999999999999995,0
0,lda,18,0.88,0.88,0.76,0
0,lda,19,0.83,0.8300000000000001,0.6599999999999999,0
0,lda,2,0.97,0.97,0.94,0
0,lda,20,0.53,0.53,0.06000000000000005,0
0,lda,21,0.97,0.97,0.94,0
0,lda,22,0.58,0.58,0.16000000000000003,0
0,lda,23,0.51,0.51,0.020000000000000018,0
0,lda,24,0.5,0.5,0.0,0
0,lda,25,0.53,0.53,0.06000000000000005,0
0,lda,26,0.56,0.56,0.12,0
0,lda,27,0.49,0.49,-0.020000000000000018,0
0,lda,28,0.94,0.94,0.88,0
0,lda,29,0.96,0.96,0.92,0
0,lda,3,0.87,0.87,0.74,0
0,lda,30,0.81,0.81,0.62,0
0,lda,31,0.56,0.56,0.12,0
0,lda,32,0.54,0.54,0.07999999999999996,0
0,lda,33,0.98,0.98,0.96,0
0,lda,34,0.44,0.44,-0.1200000000000001,0
0,lda,35,0.54,0.54,0.07999999999999996,0
0,lda,36,0.95,0.95,0.9,0
0,lda,37,0.91,0.9099999999999999,0.8200000000000001,0
0,lda,38,0.47,0.47,-0.06000000000000005,0
0,lda,39,0.77,0.77,0.54,0
0,lda,4,0.59,0.5900000000000001,0.18000000000000005,0
0,lda,40,0.52,0.52,0.040000000000000036,0
0,lda,41,0.49,0.49,-0.020000000000000018,0
0,lda,42,0.49,0.49,-0.020000000000000018,0
0,lda,43,0.81,0.81,0.62,0
0,lda,44,0.97,0.97,0.94,0
0,lda,45,0.96,0.96,0.92,0
0,lda,46,0.55,0.5499999999999999,0.09999999999999998,0
0,lda,47,0.49,0.49,-0.020000000000000018,0
0,lda,48,0.51,0.51,0.020000000000000018,0
0,lda,49,0.56,0.56,0.12,0
0,lda,5,0.89,0.8899999999999999,0.78,0
0,lda,50,0.55,0.55,0.09999999999999998,0
0,lda,51,0.62,0.62,0.24,0
0,lda,52,0.73,0.73,0.45999999999999996,0
0,lda,53,0.53,0.53,0.06000000000000005,0
0,lda,54,0.44,0.44,-0.1200000000000001,0
0,lda,6,0.7,0.7,0.4,0
0,lda,7,0.48,0.48,-0.040000000000000036,0
0,lda,8,0.52,0.52,0.040000000000000036,0
0,lda,9,0.84,0.84,0.6799999999999999,0
